Seconds,Time,R-R
32000.832,8:52:04 AM,0.877
32001.685,8:52:05 AM,0.853
32002.533,8:52:05 AM,0.848
32003.137,8:52:06 AM,0.863
32003.604,8:52:07 AM,0.881
32004.223,8:52:08 AM,0.885
32005.079,8:52:09 AM,0.856
32005.926,8:52:10 AM,0.847
32006.871,8:52:11 AM,0.945
32007.612,8:52:11 AM,0.741
32008.447,8:52:12 AM,0.835
32009.102,8:52:13 AM,0.655
32013.72,8:52:13 AM,0.566
32014.034,8:52:14 AM,0.642
32014.625,8:52:15 AM,0.782
32015.511,8:52:16 AM,0.886
32016.409,8:52:17 AM,0.898
32017.337,8:52:18 AM,0.928
32018.352,8:52:19 AM,1.015
32019.357,8:52:20 AM,1.005
32020.563,8:52:21 AM,0.922
32021.966,8:52:21 AM,0.84
32022.797,8:52:22 AM,0.831
32024.827,8:52:23 AM,0.929
32025.847,8:52:24 AM,1.02
32026.845,8:52:25 AM,0.998
32027.771,8:52:26 AM,0.926
32028.669,8:52:27 AM,0.898
32029.682,8:52:28 AM,1.013
32030.637,8:52:29 AM,0.955
32031.689,8:52:30 AM,1.052
32032.109,8:52:31 AM,0.883
32032.846,8:52:32 AM,0.737
32033.773,8:52:33 AM,0.927
32034.744,8:52:33 AM,0.971
32035.55,8:52:34 AM,0.806
32035.901,8:52:35 AM,0.656
32036.24,8:52:36 AM,0.566
32043.996,8:52:36 AM,0.522
32047.618,8:52:37 AM,0.512
32047.996,8:52:37 AM,0.523
32048.43,8:52:38 AM,0.541
32048.984,8:52:38 AM,0.554
32050.042,8:52:39 AM,0.558
32050.498,8:52:39 AM,0.582
32051.164,8:52:40 AM,0.666
32051.977,8:52:41 AM,0.813
32052.318,8:52:42 AM,0.912
32053.573,8:52:43 AM,0.934
32054.814,8:52:44 AM,0.878
32055.557,8:52:44 AM,0.743
32055.82,8:52:45 AM,0.539
32056.173,8:52:45 AM,0.317
32056.579,8:52:45 AM,0.14
32056.852,8:52:45 AM,0.071
32060.721,8:52:45 AM,0.172
32061.225,8:52:46 AM,0.504
32062.131,8:52:47 AM,0.906
32062.893,8:52:48 AM,0.762
32066.226,8:52:48 AM,0.725
32066.95,8:52:49 AM,0.724
32067.528,8:52:50 AM,0.578
32069.287,8:52:50 AM,0.642
32069.988,8:52:51 AM,0.701
32070.524,8:52:52 AM,0.536
32073.407,8:52:52 AM,0.524
32073.87,8:52:53 AM,0.682
32074.762,8:52:54 AM,0.892
32075.92,8:52:55 AM,1.057
32076.348,8:52:56 AM,1.163
32079.872,8:52:57 AM,1.221
32080.363,8:52:58 AM,1.238
32080.704,8:53:00 AM,1.224
32082.455,8:53:01 AM,1.186
32082.977,8:53:02 AM,1.135
32085.499,8:53:03 AM,1.078
32086,8:53:04 AM,1.024
32091.691,8:53:05 AM,0.983
32093.068,8:53:06 AM,0.962
32094.039,8:53:07 AM,0.971
32095.068,8:53:08 AM,1.029
32096.21,8:53:09 AM,1.142
32096.614,8:53:10 AM,1.158
32097.392,8:53:11 AM,1.113
32098.496,8:53:12 AM,1.104
32099.649,8:53:14 AM,1.153
32100.772,8:53:15 AM,1.123
32101.973,8:53:16 AM,1.201
32103.118,8:53:17 AM,1.145
32104.214,8:53:18 AM,1.096
32105.19,8:53:19 AM,0.976
32105.845,8:53:20 AM,0.938
32106.169,8:53:21 AM,0.992
32109.878,8:53:22 AM,1.085
32111.043,8:53:23 AM,1.165
32112.236,8:53:25 AM,1.193
32112.641,8:53:26 AM,1.185
32113.417,8:53:27 AM,1.165
32114.572,8:53:28 AM,1.155
32115.735,8:53:29 AM,1.163
32116.891,8:53:30 AM,1.156
32118.024,8:53:31 AM,1.133
32119.549,8:53:33 AM,1.069
32120.296,8:53:34 AM,0.966
32120.618,8:53:34 AM,0.838
32121.185,8:53:35 AM,0.699
32121.448,8:53:36 AM,0.562
32121.963,8:53:36 AM,0.441
32122.568,8:53:36 AM,0.348
32122.86,8:53:37 AM,0.298
32123.242,8:53:37 AM,0.304
32124.82,8:53:37 AM,0.379
32126.955,8:53:38 AM,0.536
32127.745,8:53:39 AM,0.79
32128.767,8:53:40 AM,1.022
32129.665,8:53:41 AM,0.898
32130.989,8:53:42 AM,0.952
32132.079,8:53:43 AM,1.09
32133.158,8:53:44 AM,1.079
32134.188,8:53:45 AM,1.03
32135.204,8:53:46 AM,1.016
32136.22,8:53:47 AM,1.016
32137.228,8:53:48 AM,1.008
32138.206,8:53:49 AM,0.978
32139.245,8:53:50 AM,1.039
32140.384,8:53:51 AM,1.139
32141.479,8:53:52 AM,1.095
32142.594,8:53:53 AM,1.115
32143.84,8:53:54 AM,1.246
32145.117,8:53:56 AM,1.277
32146.117,8:53:57 AM,1
32146.601,8:53:58 AM,0.863
32147.605,8:53:59 AM,1.004
32148.866,8:54:00 AM,1.261
32150.028,8:54:01 AM,1.162
32151.218,8:54:02 AM,1.19
32152.347,8:54:03 AM,1.129
32153.455,8:54:04 AM,1.108
32154.544,8:54:06 AM,1.089
32155.569,8:54:07 AM,1.025
32156.611,8:54:08 AM,1.042
32157.627,8:54:09 AM,1.016
32158.68,8:54:10 AM,1.053
32160.87,8:54:11 AM,1.045
32161.874,8:54:12 AM,1.004
32162.19,8:54:13 AM,0.982
32162.871,8:54:14 AM,0.971
